연도,역번호,역명,1월 승차,1월 하차,2월 승차,2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
2018,1101,판암,120099,103185,106864,91641,131243,113647,127007,109070,132921,114269,125279,107398,124685,107462,126214,109154,126963,108963,142876,123988,140956,122627,140145,121476
2018,1102,신흥,61193,52844,52700,45790,63580,55355,61863,53571,63519,56186,61395,53926,60687,53942,59520,52382,58092,51538,63444,56850,62274,54728,61780,53708
2018,1103,대동,142370,124856,118222,103734,171351,151238,164067,145909,169886,149926,156326,138307,145856,127785,134986,118943,142690,124733,162567,143799,161696,142068,153311,133177
2018,1104,대전,333307,326833,302244,299060,357075,350760,351422,343433,363006,357884,349947,347683,336720,334250,338729,335495,339962,337446,360313,360211,358771,358243,358385,356479
2018,1105,중앙로,202440,223767,194715,213812,213646,235855,191537,213416,218206,240537,194073,216566,209556,232526,203477,223600,189585,210726,204208,223706,196141,217751,219046,239959
2018,1106,중구청,73520,77848,60496,64911,77291,81760,75996,80622,76511,81348,70862,74661,70705,74504,67992,71687,65785,69779,76661,82116,76063,81615,71476,77023
2018,1107,서대전네거리,213500,223797,186621,195742,226266,235406,217652,226224,224499,234741,210478,220094,203450,214006,194064,205985,193358,201971,226266,235518,219461,229773,219438,229957
2018,1108,오룡,134608,123976,115686,106426,142954,129793,140305,127318,143179,129891,133230,121544,130369,117865,126991,114393,123779,111467,140016,125518,140506,126659,136414,123659
2018,1109,용문,231487,234666,200055,203228,240977,243509,232539,236493,242998,246405,231172,233319,229232,231278,218068,222508,212936,216881,242883,248595,239148,245192,239286,244457
2018,1110,탄방,166770,185059,137512,151811,164833,183118,156067,173799,161715,180777,152698,169081,154660,171144,148717,164509,141020,156922,161331,178614,161786,180720,165239,183164
2018,1111,시청,251064,267065,210406,224643,237603,255727,222779,239059,235987,251878,222799,237191,231981,244190,219836,231598,205278,218308,232173,246615,231676,246104,235978,251070
2018,1112,정부청사,200329,213969,171407,182622,207089,221076,200028,214230,209167,222820,194840,208360,192505,206339,183703,197242,177347,189778,209437,222247,209350,221806,202609,216607
2018,1113,갈마,92431,89718,82157,80384,96523,93641,94028,90990,99357,95466,93307,89965,89771,86770,86872,83658,87286,84021,97119,93089,97185,92966,96148,93326
2018,1114,월평,116077,115567,101236,100100,124028,124205,119456,120292,124932,124839,116383,116097,115310,114757,109687,109951,111065,112132,124879,124122,122999,122308,121938,122609
2018,1115,갑천,31235,30620,27165,26337,33081,32741,31823,31326,32900,32143,31069,30820,29388,28391,28948,27807,27134,26776,31317,31351,30726,30461,29715,29656
2018,1116,유성온천,278648,286408,241727,247547,298988,304086,284934,291541,302013,310983,275002,281006,263961,271460,255419,262779,258979,267615,292075,299997,298067,304817,300966,308345
2018,1117,구암,76111,75151,68338,68286,86537,85961,84928,84403,87686,87359,81566,80527,74926,74772,73140,72424,77251,76470,86506,85654,84382,84180,80198,79429
2018,1118,현충원,62057,46231,56458,41254,86229,72211,87152,72598,88902,73818,79258,65133,65374,50678,63019,48543,78309,64344,87227,72746,85255,70349,74244,58947
2018,1119,월드컵경기장,80709,71854,70138,62905,84570,76405,82909,74895,86304,77233,87576,79120,82971,73565,83201,74061,80310,72179,88554,80409,86833,78433,85903,76833
2018,1120,노은,128606,135406,111877,117670,127802,134856,120181,127575,129386,135732,120073,125757,122383,129096,120019,126755,113052,118501,126466,132532,126281,133016,129055,134986
2018,1121,지족,87613,83473,75745,71688,94930,90185,90278,87709,93357,90165,83941,81184,82151,80301,81102,78757,78911,75941,91570,88318,92617,88933,87647,83439
2018,1122,반석,222149,203137,193386,175364,230281,212055,227258,209113,234873,216215,218000,202274,222899,205597,216459,199823,206938,190700,235554,216721,234035,213742,231495,211056
