연도,역번호,역명,1월 승차,1월 하차,2월 승차,2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차
2020,1101,판암,128432,112353,100092,87988,71716,64084,84142,74939,101009,89941
2020,1102,신흥,56982,49665,45140,39334,32004,27875,36001,31313,42183,37082
2020,1103,대동,128125,111533,98494,86686,65793,58454,78283,69118,97264,84747
2020,1104,대전,334026,327258,227907,223965,145123,144227,189409,188431,250287,243862
2020,1105,중앙로,186599,207634,135093,148384,77624,85910,99793,112023,131212,148421
2020,1106,중구청,65789,70913,49642,54169,35769,38308,41141,44478,48683,53046
2020,1107,서대전네거리,195727,206843,150934,157877,97774,102279,115110,119196,138647,145223
2020,1108,오룡,124935,114486,99297,92407,69316,63824,78203,72503,94757,87063
2020,1109,용문,215117,219133,161984,163355,97435,97672,115539,115511,140200,140848
2020,1110,탄방,148694,160913,115657,126219,77052,84329,88697,97298,104394,114450
2020,1111,시청,229647,240866,182695,191688,116903,121941,136378,142378,164595,173226
2020,1112,정부청사,186679,200239,148639,160014,101635,110765,114854,123820,137092,148250
2020,1113,갈마,91645,90480,69244,68864,44121,43567,53922,53223,66916,66213
2020,1114,월평,112871,112888,85100,84009,52019,51219,63064,62184,74847,74260
2020,1115,갑천,28106,27546,22839,22154,16869,16022,19651,19034,23372,22570
2020,1116,유성온천,275787,283679,206932,212988,127497,129949,152974,156327,193167,197669
2020,1117,구암,73874,73272,55986,55453,37043,36740,46021,45758,56824,55828
2020,1118,현충원,62740,48412,45240,35353,29934,24833,37736,30618,47357,38773
2020,1119,월드컵경기장,78014,69632,60104,53613,41544,37440,48933,43818,59232,53035
2020,1120,노은,121305,128308,93228,98464,58535,62154,70214,74442,86650,91685
2020,1121,지족,78454,75856,63112,61533,42955,41829,45483,43831,54258,51867
2020,1122,반석,219270,199901,173934,159166,112692,103645,134244,123919,165163,152487
