역번호,역명,1월 승차,1월 하차,2월 승차,2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
1101,판암,100289,91005,84788,76866,99886,90952,108678,98388,121440,109668,114266,102832,113534,102263,106876,95605,111500,100342,118300,106521,117439,105499,118294,106032
1102,신흥,39445,36617,33392,30618,38323,36179,41889,39030,46521,42948,44179,40385,43475,39866,41033,38152,42467,39316,45327,42218,45198,41319,46316,42010
1103,대동,93910,84772,76316,68735,103530,93059,115048,101971,128966,113473,117544,102838,110664,95832,104130,91069,120350,104306,125778,109656,127292,111489,121882,105861
1104,대전,248642,244898,210093,199105,242633,234299,277565,268557,327836,308375,308740,298212,305375,295341,289373,278540,301334,294640,324910,311818,309643,301986,322240,315534
1105,중앙로,134600,145082,112270,119989,122776,129843,132929,145954,162828,175516,142274,156353,153752,167626,143421,157209,137715,152854,152734,167274,141020,155571,167930,182775
1106,중구청,48228,51128,40194,42743,48536,50654,52623,54929,63368,70646,57005,59461,56212,58618,52825,55256,55855,57621,59382,61927,61942,64532,61687,64283
1107,서대전네거리,139057,147598,115906,122535,133457,141680,145075,154529,167143,176389,157843,166343,157560,166988,145229,154128,152472,161525,170192,179891,166232,175476,170642,180281
1108,오룡,92871,87095,78748,74209,92594,86227,100731,92273,112992,102419,108087,98136,108036,97049,102967,93049,107226,94865,114571,102225,116260,104747,117116,105834
1109,용문,140848,142419,118105,120236,137409,139263,148264,149064,168884,170426,161892,162643,159217,159691,151711,151528,156733,155575,168461,168085,170611,169961,176728,178941
1110,탄방,104472,112370,85609,92270,98898,107077,106175,115739,118080,130665,116248,127370,117563,129022,111357,121216,111488,123418,119707,131609,121591,133964,129567,141854
1111,시청,189916,188655,159807,159423,168984,172442,178231,185020,198586,207261,190946,198065,201043,205867,192033,194699,184989,193512,198501,206034,200322,208630,209440,215740
1112,정부청사,149166,161699,123609,135273,143485,156722,156558,171502,177437,196304,166617,184053,166535,184975,157211,174608,165985,182303,176057,194303,181863,198683,190067,209810
1113,갈마,72001,72626,58875,59910,68682,68428,74809,74701,84884,85206,81358,81024,79571,79617,75375,75539,78548,79118,83974,84037,83325,82861,87818,88349
1114,월평,81332,80332,66201,67069,79843,80434,87536,86478,97959,98749,92011,91316,91193,90629,86121,85961,93274,93436,100179,99850,97883,96946,101189,99734
1115,갑천,24078,23249,20958,20331,24477,23951,26348,25906,28977,28121,27525,26628,26814,25840,24419,23930,26277,25549,28383,27794,28788,27965,28335,27502
1116,유성온천,207385,212097,171239,178603,206494,210122,223432,227531,262449,270050,257135,265118,247699,257621,230829,241153,246750,254616,264828,276595,267765,279300,284049,293276
1117,구암,70217,69921,56789,56689,69733,69419,77778,77702,86465,87158,80620,80197,77351,77024,73625,73879,79816,79441,84472,84234,83950,83608,84837,83654
1118,현충원,44930,36378,37968,31281,57199,49383,65188,54834,74666,62635,64524,54120,55231,45564,52131,43415,66883,55933,69570,58472,69840,58118,61109,49007
1119,월드컵경기장,63818,57261,52909,47176,62434,55874,67213,60348,76243,68150,82532,75666,72427,63952,69600,61502,70639,62676,78864,71452,75367,67353,79554,71080
1120,노은,99554,104403,82427,86827,94613,99474,101518,106240,114637,120193,110633,115932,111928,117483,104626,109482,104580,109863,110846,116077,110474,116443,119568,124697
1121,지족,47610,45668,39942,38663,50804,48915,55451,52356,62102,58551,58240,55333,54903,52189,51997,49721,57999,54440,59950,56744,61818,58515,64227,60861
1122,반석,178206,167560,147500,138399,171193,164262,187035,177820,209756,198710,200736,188921,201401,189238,189331,177960,196503,184454,209651,197324,213327,199217,222674,206836
