년도,역명,월,역번호,승차인원,하차인원,_source_file
2015,갈마,1,1113,102738,99367,대전교통공사_역별 수송실적_20151231.csv
2015,갈마,2,1113,88780,86083,대전교통공사_역별 수송실적_20151231.csv
2015,갈마,3,1113,104817,101697,대전교통공사_역별 수송실적_20151231.csv
2015,갈마,4,1113,101945,98594,대전교통공사_역별 수송실적_20151231.csv
2015,갈마,5,1113,106050,101782,대전교통공사_역별 수송실적_20151231.csv
2015,갈마,6,1113,85273,81762,대전교통공사_역별 수송실적_20151231.csv
2015,갈마,7,1113,97766,94312,대전교통공사_역별 수송실적_20151231.csv
2015,갈마,8,1113,92866,88985,대전교통공사_역별 수송실적_20151231.csv
2015,갈마,9,1113,94316,91355,대전교통공사_역별 수송실적_20151231.csv
2015,갈마,10,1113,101341,97619,대전교통공사_역별 수송실적_20151231.csv
2015,갈마,11,1113,97762,93304,대전교통공사_역별 수송실적_20151231.csv
2015,갈마,12,1113,105262,100754,대전교통공사_역별 수송실적_20151231.csv
2016,갈마,1,1113,95582,91830,대전교통공사_역별 수송실적_20161231.csv
2016,갈마,2,1113,89420,86263,대전교통공사_역별 수송실적_20161231.csv
2016,갈마,3,1113,102295,98354,대전교통공사_역별 수송실적_20161231.csv
2016,갈마,4,1113,99387,95075,대전교통공사_역별 수송실적_20161231.csv
2016,갈마,5,1113,102199,98069,대전교통공사_역별 수송실적_20161231.csv
2016,갈마,6,1113,96288,91441,대전교통공사_역별 수송실적_20161231.csv
2016,갈마,7,1113,94645,90212,대전교통공사_역별 수송실적_20161231.csv
2016,갈마,8,1113,90839,86467,대전교통공사_역별 수송실적_20161231.csv
2016,갈마,9,1113,89973,86040,대전교통공사_역별 수송실적_20161231.csv
2016,갈마,10,1113,98329,93356,대전교통공사_역별 수송실적_20161231.csv
2016,갈마,11,1113,97587,93020,대전교통공사_역별 수송실적_20161231.csv
2016,갈마,12,1113,102468,97483,대전교통공사_역별 수송실적_20161231.csv
2017,갈마,1,1113,92699,89788,대전교통공사_역별 수송실적_20171231.csv
2017,갈마,2,1113,91773,88997,대전교통공사_역별 수송실적_20171231.csv
2017,갈마,3,1113,101785,97571,대전교통공사_역별 수송실적_20171231.csv
2017,갈마,4,1113,97875,93399,대전교통공사_역별 수송실적_20171231.csv
2017,갈마,5,1113,100391,95746,대전교통공사_역별 수송실적_20171231.csv
2017,갈마,6,1113,96071,91808,대전교통공사_역별 수송실적_20171231.csv
2017,갈마,7,1113,92827,88364,대전교통공사_역별 수송실적_20171231.csv
2017,갈마,8,1113,91783,87085,대전교통공사_역별 수송실적_20171231.csv
2017,갈마,9,1113,96462,92097,대전교통공사_역별 수송실적_20171231.csv
2017,갈마,10,1113,87961,85147,대전교통공사_역별 수송실적_20171231.csv
2017,갈마,11,1113,94172,91024,대전교통공사_역별 수송실적_20171231.csv
2017,갈마,12,1113,96350,93764,대전교통공사_역별 수송실적_20171231.csv
2018,갈마,1,1113,92431,89718,대전교통공사_역별 수송실적_20181231.csv
2018,갈마,2,1113,82157,80384,대전교통공사_역별 수송실적_20181231.csv
